0,1,2,3,4
1,Ana,ana@gmail.com,4500.0,Analista
2,Kaio,kaka@gmail.com,3500.0,Estagiário
3,Felipe,fe@gmail.com,1500.0,Menor Ap.
4,Bernardo,ber@gmail.com,9500.0,Coordenador
5,Ana,ana@gmail.com,4500.0,Analista
6,Kaio,kaka@gmail.com,3500.0,Estagiário
7,Felipe,fe@gmail.com,1500.0,Menor Ap.
8,Bernardo,ber@gmail.com,9500.0,Coordenador
9,Ana,ana@gmail.com,4500.0,Analista
10,Kaio,kaka@gmail.com,3500.0,Estagiário
11,Felipe,fe@gmail.com,1500.0,Menor Ap.
12,Bernardo,ber@gmail.com,9500.0,Coordenador
13,Ana,ana@gmail.com,4500.0,Analista
14,Kaio,kaka@gmail.com,3500.0,Estagiário
15,Felipe,fe@gmail.com,1500.0,Menor Ap.
16,Bernardo,ber@gmail.com,9500.0,Coordenador
